index,total_mean,episode,story,omnibus,type
1,129.58565737051794,145.1346153846154,126.71348314606742,115.42857142857144,비공감
2,105.06374501992032,103.3076923076923,108.07303370786516,83.9047619047619,비공감
3,99.01195219123504,82.61538461538461,102.8370786516854,107.1904761904762,비공감
4,84.63346613545816,76.98076923076923,90.74719101123596,51.76190476190476,비공감
5,69.2788844621514,68.57692307692308,71.71348314606742,50.38095238095238,비공감
6,75.54183266932272,71.96153846153847,80.13483146067416,45.47619047619048,비공감
7,105.35059760956176,124.51923076923076,105.81460674157304,53.95238095238095,비공감
8,104.23505976095618,75.4423076923077,117.59550561797752,62.285714285714285,비공감
9,109.601593625498,69.6923076923077,126.9494382022472,61.38095238095238,비공감
10,119.37848605577688,89.51923076923077,133.7865168539326,71.19047619047619,비공감
1,87.92828685258964,78.78846153846153,91.28651685393258,82.0952380952381,긍정댓글
2,57.46613545816733,53.5,59.52247191011236,49.85714285714285,긍정댓글
3,51.820717131474105,42.05769230769231,55.07303370786517,48.42857142857143,긍정댓글
4,57.155378486055774,56.61538461538461,59.17977528089887,41.333333333333336,긍정댓글
5,53.601593625498005,61.26923076923077,51.2247191011236,54.76190476190476,긍정댓글
6,58.940239043824704,54.23076923076923,61.12359550561798,52.095238095238095,긍정댓글
7,62.398406374502,63.82692307692308,63.31460674157304,51.095238095238095,긍정댓글
8,65.28286852589642,62.26923076923077,66.07303370786516,66.04761904761905,긍정댓글
9,70.14342629482071,54.46153846153846,77.06179775280899,50.333333333333336,긍정댓글
10,76.36254980079681,61.76923076923077,81.87078651685393,65.80952380952381,긍정댓글
1,11524.175816733072,13312.121923076924,10751.163764044944,13649.078095238094,총별점수
2,10617.603864541845,12212.196346153843,9942.480449438204,12391.563809523812,총별점수
3,10264.683306772897,11579.887115384614,9660.75286516854,12127.01761904762,총별점수
4,9932.224900398409,11487.63403846154,9268.11292134832,11709.87523809524,총별점수
5,9696.29812749005,11497.845384615388,8954.486235955063,11523.062857142855,총별점수
6,9814.58832669322,11176.879615384612,9248.981853932586,11235.483809523812,총별점수
7,9737.036374501991,10978.891346153843,9136.196179775276,11754.802857142857,총별점수
8,9571.37916334662,10925.995192307688,8987.727471910111,11164.23476190476,총별점수
9,9517.553864541836,10807.59846153846,9006.710842696622,10653.160476190478,총별점수
10,9521.61494023904,10747.929615384615,8989.800224719096,10992.789047619046,총별점수
